km_since_last_service,days_since_service,vehicle_age_years,past_emergency_repairs,cumulative_cost_inr,avg_daily_km,critical_sensor_pressure_ratio,failure_next_30_days
14251.3,100,1.0,0,51212.85,146.8,1.04,1
9788.8,102,1.7,3,121356.22,326.4,0.979,1
9209.1,153,5.7,2,202200.8,222.7,0.858,0
9209.2,157,6.7,2,217231.15,332.1,1.144,1
24664.6,83,1.8,1,84260.23,216.2,0.989,0
16505.8,48,7.0,1,218034.33,267.3,0.919,0
7884.6,128,6.6,0,180439.75,180.2,0.973,0
14617.6,124,9.5,2,289056.84,242.9,1.2,1
12326.5,109,8.6,1,252486.29,351.7,1.125,0
2414.6,83,9.5,1,280606.08,268.5,0.961,0
5324.4,67,9.7,1,276299.45,244.6,1.319,0
12853.8,157,5.0,0,140590.18,140.0,1.024,0
23390.0,58,5.4,1,163533.14,256.1,0.824,1
9258.8,47,3.5,1,122388.69,265.8,1.009,0
7491.3,64,5.6,1,181332.66,231.5,0.94,0
11407.7,41,2.4,2,110903.29,240.0,1.076,0
7204.7,125,7.0,2,226813.06,253.7,0.998,1
8872.5,83,1.2,2,84822.47,261.9,0.922,0
10578.7,16,3.1,0,96127.18,249.2,1.061,0
5142.0,100,2.9,0,95839.08,330.2,0.824,0
16992.1,66,9.4,1,267885.43,197.9,1.027,0
4514.3,77,2.3,2,105675.68,352.7,1.283,0
4130.5,90,9.0,1,269028.36,244.1,1.138,0
12004.9,53,2.1,0,75440.51,292.1,0.86,0
16254.0,46,6.9,0,185390.6,324.0,1.178,0
11825.7,109,3.9,0,122702.66,271.5,1.017,0
9928.9,31,3.8,0,106183.49,258.1,0.924,0
8818.3,38,10.0,1,292212.35,268.8,1.009,0
7931.8,44,3.0,0,101477.54,143.5,1.134,0
19168.9,136,2.8,2,134170.05,100.8,0.937,1
12926.7,161,6.3,1,189631.83,305.3,0.819,0
8343.9,44,7.7,0,211508.75,240.3,0.896,0
6827.9,39,9.8,0,258654.81,208.8,1.01,0
15181.7,82,7.3,3,263912.88,273.2,0.886,0
18917.8,66,6.1,0,174767.36,250.6,1.02,0
17979.4,126,4.7,1,155479.92,182.4,0.953,0
6070.3,104,6.4,1,193000.33,316.8,0.858,0
8771.7,204,6.4,0,179098.16,327.8,1.062,1
7832.9,40,3.0,0,94141.2,272.6,1.058,0
9499.3,125,7.0,2,238035.18,269.9,1.037,0
16903.0,58,2.8,0,94573.76,259.3,0.786,0
22204.4,37,5.4,0,153569.91,267.2,0.858,0
13207.5,58,3.3,0,99534.93,280.9,1.079,0
6983.3,62,3.8,0,117646.87,231.8,0.966,0
10434.4,152,6.5,3,241359.83,308.2,1.089,1
24498.5,23,1.6,1,82869.32,270.2,0.886,0
11245.4,45,1.1,0,43385.14,306.4,0.874,0
8830.3,80,2.2,0,72696.13,335.7,0.937,0
9295.2,35,2.5,3,140398.29,262.2,0.998,0
13173.5,192,2.8,2,122454.21,280.0,1.054,0
6209.2,210,8.0,0,220524.71,298.7,1.018,0
7713.4,76,5.0,3,200167.87,264.2,1.059,0
17832.9,110,5.2,1,165538.84,239.3,1.059,0
12961.4,173,6.8,1,214882.92,271.0,0.923,0
11313.4,69,7.6,1,226880.71,338.0,1.147,0
18327.3,106,1.0,0,42204.75,114.8,0.93,0
6706.7,32,8.7,0,242473.43,304.8,0.883,0
8666.3,16,9.9,1,293568.65,269.3,1.036,0
12720.2,134,2.1,3,126798.4,228.7,0.967,0
12464.4,72,6.9,2,223409.94,312.0,1.154,0
3835.3,206,1.0,0,38767.87,187.7,0.961,0
8148.2,50,1.4,1,73669.39,235.9,0.91,0
9647.5,30,3.6,0,121414.98,338.7,0.947,0
13529.6,126,8.6,2,274047.7,146.4,1.033,1
12439.0,196,6.9,0,188356.7,290.1,1.041,0
10187.7,32,5.0,0,144320.77,346.3,0.876,1
2401.3,40,4.9,0,139565.53,326.2,1.018,0
10494.4,169,5.2,1,169338.9,283.9,0.946,1
11064.9,245,3.8,0,107172.84,202.4,0.98,1
36202.5,106,8.9,2,280340.0,313.6,0.971,1
9458.9,47,6.1,1,190814.91,222.3,1.045,0
12760.1,160,5.4,3,215794.59,250.7,1.084,1
20008.4,63,5.2,0,152234.22,256.9,1.004,0
